,map_id
1592,R323097
1595,R323063
1604,R322626
1605,R322760
1606,R322761
1607,R322628
1609,R322634
1612,R322542
1613,R322696
1614,R322453
1616,R322673
1617,R322449
1643,R322187
1651,R321869
1654,R321897
1655,R321816
1656,R321983
1661,R321982
1663,R321815
1664,R321975
1665,R40701
1666,R39575
1667,R322939
1668,R39517
1669,R40704
1670,R40702
1671,R40699
1672,R39682
1673,R39573
1674,R39679
1675,R39717
1676,R39566
1677,R39375
1678,R39372
1679,R39571
1680,R39568
1681,R39369
1682,R39366
1683,R39068
1684,R39360
1685,R39057
1686,R39061
1687,R39676
1688,R39064
1689,R39564
1690,R39066
1691,R39363
1692,R39220
1693,R39217
1694,R39357
1695,R39211
1696,R39214
1697,R38967
1698,R38961
1699,R38957
1700,R39558
1701,R39565
1702,R39549
1703,R39433
1704,R39563
1705,R38959
1706,R39207
1707,R38965
1708,R39419
1709,R39561
1710,R39201
1711,R39198
1712,R39204
1713,R39192
1714,R38951
1715,R38955
1716,R39195
1717,R323223
1718,R39189
1719,R38953
1720,R39543
1721,R38818
1722,R39416
1723,R39540
1724,R39355
1725,R39186
1726,R39352
1727,R38821
1728,R39222
1729,R39342
1730,R39336
1731,R39031
1732,R39349
1733,R37801
1734,R38805
1735,R39346
1736,R37477
1737,R39333
1738,R38018
1739,R37980
1740,R314177
1741,R38019
1742,R314178
1743,R38020
1744,R38017
1745,R37329
1746,R37976
1747,R37418
1748,R37974
1749,R37969
1750,R37331
1751,R37967
1752,R37965
1753,R37971
1754,R37325
1755,R37977
1756,R37415
1757,R37972
1758,R37727
1759,R37413
1760,R37979
1761,R312191
1762,R25647
1763,R24918
1764,R312190
1765,R25644
1766,R24580
1767,R25599
1768,R24964
1769,R24584
1770,R25641
1771,R37109
1772,R24915
1773,R37297
1774,R25123
1775,R25115
1776,R25605
1777,R24900
1778,R25044
1779,R25585
1780,R24529
1781,R25017
1782,R25579
1783,R25576
1784,R25013
1785,R24526
1786,R25081
1787,R25022
1788,R25035
1789,R25090
1790,R25008
1791,R25028
1792,R24523
1793,R24513
1794,R25573
1795,R25003
1796,R24894
1797,R24510
1798,R25558
1799,R24501
1800,R25567
1801,R24999
1802,R25564
1803,R24504
1804,R25561
1805,R24857
1806,R24880
1807,R24876
1808,R24884
1809,R23988
1810,R23987
1811,R24324
1812,R25055
1814,R24518
1815,R24524
1816,R24430
1817,R24168
1818,R24980
1819,R24527
1821,R24227
1822,R23991
1823,R23990
1824,R24521
1859,R42259
1860,R42074
1861,R42971
1862,R42978
1864,R42241
1866,R42261
1869,R42257
1870,R42534
1871,R42530
1872,R42075
1873,R42066
1874,R42527
1875,R42064
1876,R42065
1877,R42063
1878,R42969
1879,R42060
1880,R42968
1881,R42237
1882,R42965
1883,R42059
1884,R42966
1885,R42061
1886,R42235
1887,R42239
1888,R42963
1889,R42522
1890,R42517
1891,R41793
1892,R12681
1893,R41004
1894,R41006
1895,R41240
1896,R42011
1897,R41452
1898,R41453
1899,R41007
1900,R41002
1901,R41833
1902,R41455
1903,R41454
1904,R41003
1905,R41115
1906,R41239
1907,R40343
1908,R40042
1909,R41102
1910,R40380
